Bus,MessageID,Message,MessageLength
0,0x356,0x000000006c0011,7
129,0x356,0x000000006c0011,7
130,0x356,0x000000006c0011,7
0,0x366,0x29340a29190001,7
129,0x366,0x29340a29190001,7
130,0x366,0x29340a29190001,7
0,0x367,0x0000000007005c01,8
129,0x367,0x0000000007005c01,8
130,0x367,0x0000000007005c01,8
0,0x368,0x0e0100000e340a1c,8
129,0x368,0x0e0100000e340a1c,8
130,0x368,0x0e0100000e340a1c,8
0,0x130,0xb1802a8000000e71,8
0,0x436,0x00000000,4
129,0x130,0xb1802a8000000e71,8
130,0x130,0xb1802a8000000e71,8
0,0x453,0x0052ff0094,5
129,0x436,0x00000000,4
130,0x436,0x00000000,4
129,0x453,0x0052ff0094,5
130,0x453,0x0052ff0094,5
1,0x251,0x5e046c21004a8881,8
130,0x251,0x5e046c21004a8881,8
128,0x251,0x5e046c21004a8881,8
0,0x153,0x200010ff00ff80ae,8
0,0x164,0x00081810,4
129,0x153,0x200010ff00ff80ae,8
130,0x153,0x200010ff00ff80ae,8
0,0x166,0x6464646400c0,6
129,0x164,0x00081810,4
130,0x164,0x00081810,4
129,0x166,0x6464646400c0,6
130,0x166,0x6464646400c0,6
0,0x220,0x00e47c00005910c0,8
0,0x260,0x1c29293000a56005,8
129,0x220,0x00e47c00005910c0,8
2,0x340,0x064000242400a618,8
0,0x386,0x238024c023c02400,8
129,0x260,0x1c29293000a56005,8
130,0x220,0x00e47c00005910c0,8
128,0x340,0x064000242400a618,8
129,0x340,0x064000242400a618,8
130,0x260,0x1c29293000a56005,8
0,0x47f,0x20eefffa0000,6
129,0x386,0x238024c023c02400,8
130,0x386,0x238024c023c02400,8
0,0x2b0,0x5500030715,5
130,0x47f,0x20eefffa0000,6
1,0x381,0x8000400000383d45,8
0,0x329,0x0fc9811411200021,8
130,0x2b0,0x5500030715,5
129,0x47f,0x20eefffa0000,6
128,0x381,0x8000400000383d45,8
129,0x2b0,0x5500030715,5
130,0x381,0x8000400000383d45,8
129,0x329,0x0fc9811411200021,8
130,0x329,0x0fc9811411200021,8
0,0x140,0xe57e006a20000f2f,8
129,0x140,0xe57e006a20000f2f,8
130,0x140,0xe57e006a20000f2f,8
0,0x59a,0x0404,2
129,0x59a,0x0404,2
130,0x59a,0x0404,2
0,0x356,0x00000000000011,7
129,0x356,0x00000000000011,7
130,0x356,0x00000000000011,7
0,0x366,0x29340a29190001,7
129,0x366,0x29340a29190001,7
130,0x366,0x29340a29190001,7
0,0x367,0x0000000007006001,8
129,0x367,0x0000000007006001,8
130,0x367,0x0000000007006001,8
0,0x368,0x0e0100000e340a1c,8
129,0x368,0x0e0100000e340a1c,8
130,0x368,0x0e0100000e340a1c,8
0,0x130,0xac802f8000000fec,8
129,0x130,0xac802f8000000fec,8
130,0x130,0xac802f8000000fec,8
0,0x470,0x0040050444051470,8
129,0x470,0x0040050444051470,8
130,0x470,0x0040050444051470,8
1,0x251,0x64046def00504882,8
130,0x251,0x64046def00504882,8
128,0x251,0x64046def00504882,8
0,0x153,0x200010ff00ff90be,8
0,0x164,0x00081a12,4
129,0x153,0x200010ff00ff90be,8
130,0x153,0x200010ff00ff90be,8
0,0x166,0x6464646400d0,6
129,0x164,0x00081a12,4
130,0x164,0x00081a12,4
0,0x220,0x03e47c00005710d3,8
129,0x166,0x6464646400d0,6
130,0x166,0x6464646400d0,6
0,0x260,0x1c29293000a56014,8
129,0x220,0x03e47c00005710d3,8
2,0x340,0x064000243400b618,8
0,0x387,0x6cb93cc100300e00,8
130,0x220,0x03e47c00005710d3,8
129,0x260,0x1c29293000a56014,8
128,0x340,0x064000243400b618,8
130,0x260,0x1c29293000a56014,8
129,0x340,0x064000243400b618,8
0,0x394,0xe7c30000e7031383,8
130,0x387,0x6cb93cc100300e00,8
129,0x387,0x6cb93cc100300e00,8
0,0x2b0,0x5700060756,5
2,0x485,0x02000000,4
129,0x394,0xe7c30000e7031383,8
130,0x394,0xe7c30000e7031383,8
0,0x329,0x0fca811411200021,8
129,0x2b0,0x5700060756,5
128,0x485,0x02000000,4
130,0x2b0,0x5700060756,5
129,0x485,0x02000000,4
0,0x4f1,0x2000ac70,4
130,0x329,0x0fca811411200021,8
129,0x329,0x0fca811411200021,8
0,0x50c,0x40050cec040000b8,8
129,0x4f1,0x2000ac70,4
130,0x4f1,0x2000ac70,4
129,0x50c,0x40050cec040000b8,8
130,0x50c,0x40050cec040000b8,8
0,0x140,0xea7e006a200000c8,8
129,0x140,0xea7e006a200000c8,8
130,0x140,0xea7e006a200000c8,8
0,0x562,0x09130000,4
2,0x420,0x701e20c8b84b6a80,8
129,0x562,0x09130000,4
128,0x420,0x701e20c8b84b6a80,8
2,0x421,0x000000ffe37f21ea,8
129,0x420,0x701e20c8b84b6a80,8
2,0x50a,0x3b00000000000000,8
0,0x428,0x0600000000000000,8
